raceId,year,round,date,race_name,constructorId,constructorRef,team,team_points,best_finish,win,podium,best_grid_position,pole_position
1074,2022,1,2022-03-20,Bahrain Grand Prix,1,mclaren,McLaren,0.0,14,0,0,13,0
1074,2022,1,2022-03-20,Bahrain Grand Prix,131,mercedes,Mercedes,27.0,3,0,1,5,0
1074,2022,1,2022-03-20,Bahrain Grand Prix,9,red_bull,Red Bull,0.0,18,0,0,2,0
1074,2022,1,2022-03-20,Bahrain Grand Prix,3,williams,Williams,0.0,13,0,0,14,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,51,alfa,Alfa Romeo,0.0,11,0,0,8,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,213,alphatauri,AlphaTauri,4.0,8,0,0,9,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,214,alpine,Alpine F1 Team,8.0,6,0,0,5,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,117,aston_martin,Aston Martin,0.0,12,0,0,15,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,6,ferrari,Ferrari,34.0,2,0,1,2,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,210,haas,Haas F1 Team,2.0,9,0,0,10,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,1,mclaren,McLaren,6.0,7,0,0,11,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,131,mercedes,Mercedes,11.0,5,0,0,6,0
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,9,red_bull,Red Bull,37.0,1,1,1,1,1
1075,2022,2,2022-03-27,Saudi Arabian Grand Prix,3,williams,Williams,0.0,14,0,0,17,0
1076,2022,3,2022-04-10,Australian Grand Prix,51,alfa,Alfa Romeo,4.0,8,0,0,12,0
1076,2022,3,2022-04-10,Australian Grand Prix,213,alphatauri,AlphaTauri,2.0,9,0,0,11,0
1076,2022,3,2022-04-10,Australian Grand Prix,214,alpine,Alpine F1 Team,6.0,7,0,0,8,0
1076,2022,3,2022-04-10,Australian Grand Prix,117,aston_martin,Aston Martin,0.0,12,0,0,18,0
1076,2022,3,2022-04-10,Australian Grand Prix,6,ferrari,Ferrari,26.0,1,1,1,1,1
1076,2022,3,2022-04-10,Australian Grand Prix,210,haas,Haas F1 Team,0.0,13,0,0,15,0
1076,2022,3,2022-04-10,Australian Grand Prix,1,mclaren,McLaren,18.0,5,0,0,4,0
1076,2022,3,2022-04-10,Australian Grand Prix,131,mercedes,Mercedes,27.0,3,0,1,5,0
1076,2022,3,2022-04-10,Australian Grand Prix,9,red_bull,Red Bull,18.0,2,0,1,2,0
1076,2022,3,2022-04-10,Australian Grand Prix,3,williams,Williams,1.0,10,0,0,16,0
1077,2022,4,2022-04-24,Emilia Romagna Grand Prix,51,alfa,Alfa Romeo,12.0,5,0,0,8,0
1077,2022,4,2022-04-24,Emilia Romagna Grand Prix,213,alphatauri,AlphaTauri,6.0,7,0,0,16,0
1077,2022,4,2022-04-24,Emilia Romagna Grand Prix,214,alpine,Alpine F1 Team,0.0,14,0,0,5,0
